"","Row","Site","SiteNo","PlotNo","SubplotNo","SubplotRes","X","Y","AgoHet","AirCar","AnaArv","Bare","BriMin","BroDia","BroHor","CroSet","CynEch","DicCap","Erodium","GalPar","GerDis","HypGla","LinCil","Lotus","MadSat","TaeCap","TriHir","VicSat","ClaPur","Lupinus","MicCal","Ranunculus","SisBel","TriCro","TriDon","Torilis","Centaurea","Gopher","Sidalcea","LacSer","AchMil","AveBar","LolMul","TriDub","VulMyu","AveFat","CerGlo","GasVen","Wyethia","LinBic","NotMadia","PlaNot","SilGal","TriEri","TriFuc","TriGra","TriAes","TriWil","UnkForb","WhiteBrush","BroMad","Clarkia","CarPac","Solidago","MadSat.1","Asclepias","UnkForb.Cerastium..","Tritileia","CovDis","BranchedTarweed","EupSpa","WhiteGlume","SoftThistle","RumCri","PetDub","TritileiaBlue","TriMicro","GerDis.1","BriMaj","StiPul","Lathyrus","LinPar","TriRef","TriWra","TriPlate","TriWild","BroSterilis","GalApa","YellowMint","NotRanunculus","Unk.Forb","AegTri","Rock","GerMol"
"14",5,"MCL",4,1,2,0.25,2,2,3,0,0,0,0,0,37.5,0,0,0,15,0.5,0,62.5,15,0,37.5,0,0,0,0,15,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",5,"SFREC",1,1,2,0.25,2,2,0,0,0,0,0,15,15,0,0,0,0,15,0,0,0,15,15,37.5,0,15,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",6,"HREC",1,1,2,0.5,2,1,0,0,0,0,0,15,15,0,15,0,0,15,0,15,0,0,0,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",6,"MCL",4,1,2,0.5,2,1,3,15,0,0,0.5,0,15,0,0,0,15,15,0,62.5,15,0,37.5,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",6,"SFREC",1,1,2,0.5,2,1,0,0,0,0,0,37.5,15,15,0.5,0,0,15,15,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",7,"HREC",1,1,3,0.25,1,2,0,0,0,15,0,15,15,0,15,0,0,15,0,15,0,0,0,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",7,"MCL",4,1,3,0.25,1,2,2,15,0,0,0,0,15,0,0,0,15,0.5,0,37.5,15,0,37.5,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",7,"SFREC",1,1,3,0.25,1,2,0,0,0,0,0,37.5,0,0,0,0,0,15,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",8,"HREC",1,1,4,0.25,2,1,0,0,0,0,0,0.5,0.5,0,0,0,0,15,0,0.5,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",8,"MCL",4,1,4,0.25,2,1,2,15,0,0,0.5,0,15,0,0,0,15,0.5,0,62.5,15,0,15,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",8,"SFREC",1,1,4,0.25,2,1,0,0,0,0,0,15,15,15,0,0,0,15,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",9,"HREC",1,1,2,1,2,2,0,0,0,0,0,15,0,0,0,0,0,15,0,0,0,0,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",9,"MCL",4,1,2,1,2,2,3,15,0,0,0.5,0,62.5,0,0,0,15,0.5,0,37.5,15,0,37.5,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,15,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",9,"SFREC",1,1,2,1,2,2,0,0,0,0,0,37.5,15,15,0.5,15,0,15,15,0,0,0.5,15,37.5,0,0.5,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",10,"HREC",1,1,3,0.5,1,1,0,0,0,0.5,0,15,15,0,0.5,0.5,0,0.5,0,15,0.5,0,15,15,0,15,0.5,0,0,0,0,0,0,15,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
"29",10,"MCL",4,1,3,0.5,1,1,2,15,0,0,0.5,0,37.5,0,0,0,15,0.5,0,15,0,0,62.5,0,0,0,0,15,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",10,"SFREC",1,1,3,0.5,1,1,0,0,0,0,0,37.5,15,15,0,15,0,15,15,0,0,0,15,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",11,"HREC",1,1,5,0.25,2,1,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",11,"MCL",4,1,5,0.25,2,1,0,15,0,0,0,0,37.5,0,0,0,15,0.5,0,15,0,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",11,"SFREC",1,1,5,0.25,2,1,0,0,0,0,0,15,15,15,0,0,0,15,15,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",12,"HREC",1,1,6,0.25,2,2,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",12,"MCL",4,1,6,0.25,2,2,2,15,0,0,0.5,0,15,0,0,0,15,0,0,15,0,0,62.5,0,0,0,0,15,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",12,"SFREC",1,1,6,0.25,2,2,0,0,0,0,0,15,15,15,0,15,0,15,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",13,"HREC",1,1,4,0.5,2,1,0,0,0,0,0,0,15,0,0.5,0.5,0,15,0,15,15,0,15,15,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
"38",13,"MCL",4,1,4,0.5,2,1,2,15,0,0,0,0,62.5,0,0,0,15,0.5,0,15,15,0,37.5,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",13,"SFREC",1,1,4,0.5,2,1,0,0,0,0,0,37.5,15,15,0.5,0,0,15,0.5,0,0,0.5,15,37.5,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",14,"HREC",1,1,7,0.25,1,2,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",14,"MCL",4,1,7,0.25,1,2,3,15,0,0,0,0,37.5,0,0,0,15,0.5,0,15,15,0,37.5,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",14,"SFREC",1,1,7,0.25,1,2,0,0,0,0,0,37.5,0.5,15,0,0,0,15,0.5,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",15,"HREC",1,1,8,0.25,2,1,0,0,0,0,0,0,15,0,0,0.5,0,0.5,0,15,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
"44",15,"MCL",4,1,8,0.25,2,1,0,0.5,0,0,0,0,37.5,0,0,0,15,0.5,0,37.5,0,0,15,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",15,"SFREC",1,1,8,0.25,2,1,0,0,0,0,0,37.5,15,15,0,0,0,15,0,0,0,0.5,0.5,37.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",17,"HREC",1,2,1,1,1,2,2,0,0,0,0,0,15,0,0.5,0.5,0.5,15,0,15,0,0,15,15,0,15,15,0,0,0,0,0,0.5,15,0,0,15,0,15,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
"50",17,"MCL",4,2,1,1,1,2,4,15,0.5,0,0.5,0,37.5,0.5,0,0,15,15,0,15,15,0,15,0,0,0,0,15,15,15,0,0,15,0,0,0,0,0,0,0,0,0,15,15,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51",17,"SFREC",1,2,1,1,1,2,0,0,0,15,0,15,37.5,15,15,15,0,15,15,15,0,0.5,15,37.5,0,0.5,0,0,0,0,0,0,0,15,0,15,0.5,0,0,0,15,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",18,"HREC",1,2,1,0.5,1,1,2,0,0,0,0,0,15,0,0,0,0.5,0.5,0,15,0,0,15,15,0,0,15,0,0,0,0,0,0,0.5,0,0,0,0,15,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",18,"MCL",4,2,1,0.5,1,1,4,15,0.5,0,0.5,0,37.5,0.5,0,0,15,15,0,15,15,0,15,0,0,0,0,15,15,0,0,0,0.5,0,0,0,0,0,0,0,0,0,15,15,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",18,"SFREC",1,2,1,0.5,1,1,0,0,0,15,0,15,15,15,0.5,0.5,0,15,15,15,0,0,15,15,0,0.5,0,0,0,0,0,0,0,0.5,0,15,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",19,"HREC",1,2,1,0.25,1,2,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,15,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0.5,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56",19,"MCL",4,2,1,0.25,1,2,3,15,0,0,0,0,37.5,0,0,0,15,0.5,0,15,15,0,15,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57",19,"SFREC",1,2,1,0.25,1,2,0,0,0,15,0,15,15,0.5,0.5,0.5,0,15,0,0.5,0,0,15,15,0,0,0,0,0,0,0,0,0,0.5,0,15,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",20,"HREC",1,2,2,0.25,2,2,2,0,0,0,0,0,15,0,0,0,0,0,0,15,0,0,0,15,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59",20,"MCL",4,2,2,0.25,2,2,2,15,0,0,0,0,15,0.5,0,0,15,0.5,0,15,0,0,15,0,0,0,0,15,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60",20,"SFREC",1,2,2,0.25,2,2,0,0,0,15,0,0,15,15,0,0.5,0,15,15,0.5,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61",21,"HREC",1,2,2,0.5,2,1,2,0,0,0,0,0,15,0,0,0,0,0.5,0,15,0,0,0,15,0,0.5,0,0,0,0,0,0,0,15,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,15,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
"62",21,"MCL",4,2,2,0.5,2,1,4,15,0.5,0,0,0,15,0,0,0,15,0.5,0,15,0,0,15,0,0,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,37.5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63",21,"SFREC",1,2,2,0.5,2,1,0,0,0,15,0,0,37.5,15,0.5,0.5,0,15,0,0,0,0.5,15,37.5,0,0.5,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64",22,"HREC",1,2,3,0.25,1,1,1,0,0,0,0,0,0.5,0,0,0,0,0.5,0,15,0,0,0,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0.5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,15,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
"65",22,"MCL",4,2,3,0.25,1,1,4,15,15,0,0,0,37.5,0,0,0,15,0.5,0,15,0,0,15,0,0,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,37.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66",22,"SFREC",1,2,3,0.25,1,1,0,0,0,0,0,0,37.5,15,0,0,0,15,0,0,0,0.5,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67",23,"HREC",1,2,4,0.25,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,15,0,0.5,0,0,0,0,0,0,0,15,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68",23,"MCL",4,2,4,0.25,1,2,3,15,0,0,0,0,37.5,0,0,0,15,0.5,0,15,0,0,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69",23,"SFREC",1,2,4,0.25,1,2,0,0,0,37.5,0,0,37.5,0,0,0,0,15,0,0,0,0,15,37.5,0,0,0,0,0,0,0,0,0,0,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
