Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,VicSat,GerDis,TriLobed,ClaPer,Bare,Step,GalPar,Medicago,FuzzyGreen,CerGlo,,,,,,,,,,,,,,,,,,,,,,
,,,,15,7,8,,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16,8,8,2,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,GerDis,Medicago,VicSat,TriLobed,Bare,GalPar,GalApa,,,,,,,,,,,,,,,,,,,,,,,,,
SFREC,4/8/2017,1,2,1,1,1,3,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,2,1,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,3,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,4,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5,5,1,2,,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6,6,1,2,2,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,7,7,1,2,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,8,8,1,2,2,3,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9,1,2,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,10,2,2,2,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,3,2,2,1,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,12,4,2,2,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,13,5,2,,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14,6,2,2,1,2,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15,7,2,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16,8,2,2,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,Medicago,GerDis,VicSat,Bare,Step,Poop(DEER),GerMol,UnkAster,YellowApiaceae,UnkLargeAp.,FuzzyGreen,,,,,,,,,,,,,,,,,,,,,
SFREC,4/8/2017,1,2,1,1,3,3,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,2,3,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,3,3,2,2,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,4,3,2,2,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5,5,3,3,2,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6,6,3,3,1,4,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,7,7,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,8,8,3,,2,3,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
,,,,9,1,4,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,10,2,4,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,3,4,4,2,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,12,4,4,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,13,5,4,3,2,3,3,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,
,,,,14,6,4,2,2,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15,7,4,,2,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16,8,4,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,Medicago,VicSat,GerDis,Galpar,Bare,UnkAster,GerMol,FuzzyGreen,CerGlo,,,,,,,,,,,,,,,,,,,,,,,
SFREC,4/8/2017,1,2,1,1,5,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,2,5,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,3,5,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,4,5,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5,5,5,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6,6,5,,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,7,7,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,8,8,5,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9,1,6,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,10,2,6,4,3,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,3,6,6,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,12,4,6,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,13,5,6,2,4,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14,6,6,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15,7,6,,3,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,16,8,6,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,Medicago,GerDis,VicSat,CerGlo,GerMol,GalPar,TriLobe,GreenFuzzy,,,,,,,,,,,,,,,,,,,,,,,,
SFREC,4/8/2017,1,2,1,1,7,4,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,2,7,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,3,7,4,2,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,4,7,4,2,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5,5,7,3,2,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6,6,7,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,7,7,7,,2,2,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,8,8,7,,,3,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9,1,8,4,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,10,2,8,3,1,1,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,3,8,4,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,12,4,8,1,2,3,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,13,5,8,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14,6,8,3,2,3,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15,7,8,1,2,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16,8,8,,2,3,2,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,GerDis,Medicago,Torilis,Vicia (Sativa?),GerMol,Trifolium (Unsure),GalPar,Lotus,Bare,,,,,,,,,,,,,,,,,,,,,,,
SFREC,4/7/2017,2,1,1,1,1,1,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,2,1,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,3,1,1,2,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,4,1,,3,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5,5,1,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6,6,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,7,7,1,,4,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,8,8,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9,1,2,2,,2,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,10,2,2,,,,1,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,3,2,1,2,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,12,4,2,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,13,5,2,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14,6,2,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15,7,2,,4,3,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,
,,,,16,8,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,Medicago,Torilis,GerDis,VicSat,Bare,GalPar,Trifolium,CarPac,Lotus,Erodium Cic,,,,,,,,,,,,,,,,,,,,,,
SFREC,4/7/2017,2,1,1,1,4,,2,2,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,2,4,,3,,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,3,4,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,4,4,1,2,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5,5,4,2,2,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6,6,4,4,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,7,7,4,3,2,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,
,,,,8,8,4,6,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9,1,3,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,10,2,3,,2,2,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,
,,,,11,3,3,3,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,12,4,3,3,2,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
,,,,13,5,3,4,1,,2,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,
,,,,14,6,3,3,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15,7,3,4,2,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16,8,3,4,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,Medicago,Torilis,GerDis,VicSat,Bare,GalPar,CarPac,CerGlo,EroCic,,,,,,,,,,,,,,,,,,,,,,,
SFREC,4/7/2017,2,1,1,1,5,,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,2,5,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,3,5,,3,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,4,5,1,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5,5,5,2,2,2,3,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6,6,5,4,3,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,7,7,5,5,2,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,8,8,5,5,2,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9,1,6,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,10,2,6,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,3,6,,3,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,12,4,6,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,13,5,6,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14,6,6,4,3,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15,7,6,5,2,,2,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,16,8,6,6,2,,2,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,Medicago,Torilis,GerDis,Bare,VicSat,GalPar,CarPac,,,,,,,,,,,,,,,,,,,,,,,,,
SFREC,4/7/2017,2,1,1,1,7,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,2,7,,4,2,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,3,7,,4,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,4,7,,3,2,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5,5,7,,3,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6,6,7,5,2,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,7,7,7,3,2,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,8,8,7,4,3,,,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9,1,8,,3,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,10,2,8,,3,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,3,8,,3,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,12,4,8,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,13,5,8,3,2,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14,6,8,3,3,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15,7,8,5,2,,2,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16,8,8,5,,1,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,Medicago,Torilis,GerDis,EroCic,VicSat,CarPac,Bare,Trifolium,GalPar,,,,,,,,,,,,,,,,,,,,,,,
SFREC,4/8/2017,2,2,1,1,1,3,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,2,1,2,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,3,1,3,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,4,1,3,2,1,2,,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5,5,1,3,2,1,2,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,6,6,1,4,2,3,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,7,7,1,3,2,2,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,8,8,1,,2,3,1,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,9,1,2,4,2,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,10,2,2,3,2,,,1,,2,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,3,2,3,2,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,12,4,2,3,1,2,1,,3,,1,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,13,5,2,3,2,1,2,2,,2,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14,6,2,2,2,2,1,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,15,7,2,,3,2,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,16,8,2,,2,3,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,Medicago,Torilis,GerDis,VicSat,GalPar,Bare,EroCic,,,,,,,,,,,,,,,,,,,,,,,,,
SFREC,4/8/2017,2,2,1,1,3,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,2,3,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,3,3,2,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,4,3,2,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5,5,3,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6,6,3,2,2,2,1,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,7,7,3,3,2,2,2,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,8,8,3,1,2,3,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9,1,4,3,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,10,2,4,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,3,4,3,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,12,4,4,3,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,13,5,4,3,1,2,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14,6,4,3,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15,7,4,3,2,2,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16,8,4,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,Medicago,Torilis,VicSat,GalPar,GerMol,Bare,EroCic,Trifolium,CarPac,,,,,,,,,,,,,,,,,,,,,,,
SFREC,4/8/2017,2,2,1,1,5,4,3,,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,2,5,3,2,1,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,3,5,2,3,2,2,2,,,1,3,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,4,5,2,2,2,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5,5,5,3,3,,,3,,1,2,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6,6,5,,3,,2,2,,,2,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,7,7,5,,3,,1,2,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,
,,,,8,8,5,,4,1,,3,,,3,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,9,1,6,3,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,10,2,6,3,3,,,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,3,6,2,3,2,1,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,
,,,,12,4,6,3,2,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,13,5,6,3,2,,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14,6,6,,3,1,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15,7,6,,3,,1,3,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,
,,,,16,8,6,,3,2,,3,,,2,5,,,,,,,,,,,,,,,,,,,,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,Medicago,Torilis,VicSat,GerDis,GalPar,CarPac,Bare,AirCar,Trifolium,,,,,,,,,,,,,,,,,,,,,,,
SFREC,4/8/2017,2,2,1,1,7,4,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,2,7,3,2,2,2,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,3,7,2,2,1,2,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,4,7,,,,2,1,,3,,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,5,5,7,4,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6,6,7,3,1,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,7,7,7,,,,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,8,8,7,,3,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,9,1,8,4,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,10,2,8,4,,1,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,3,8,5,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,12,4,8,4,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,13,5,8,3,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14,6,8,4,2,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15,7,8,2,3,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16,8,8,2,2,2,4,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Date,BlockNo,PlotNo,SubplotNo,SubplotX,SubplotY,TriDub,GalPar,BriMin,GerDis,AirCar,VicSat,Bare,EroBot,EroCic,,,,,,,,,,,,,,,,,,,,,,,
SFREC,4/9/2017,3,1,1,1,1,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,2,1,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
