Row,Site,SiteNo,PlotNo,SubplotNo,SubplotRes,X,Y,BroDia,BroHor,TaeCap,CynEch,BroMad,LolMul,GalPar,MadSat,HypGla,GerDis,Lotus,Torilis,Bare,VulMyu,CroSet,VicSat,Clarkia,CarPac,DicCap,Centaurea,Solidago,MadSat,Gopher,Sidalcea,LacSer,BriMin,Asclepias,UnkForb(Cerastium?),Tritileia,CovDis,BranchedTarweed,EupSpa,WhiteGlume,Erodium,SoftThistle,AgoHet,RumCri,AnaArv,TriDub,TriHir,AchMil,AirCar,PetDub,TritileiaBlue,TriMicro,LinCil,GerDis,AveBar
70,SFREC,1,5,4,0.25,2,2,1,2,3,,2,,1,3,4,,,,,,,,3,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
71,SFREC,1,5,2,1,2,2,2,3,4,2,3,,2,3,2,,,2,,,3,1,1,2,1,,,,,,,,,,,,,1,2,1,,,,,,,,,,,,,,
72,SFREC,1,5,3,0.5,1,2,2,3,4,1,3,,2,4,2,,,1,,,3,,1,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,
73,SFREC,1,5,5,0.25,1,1,2,3,3,,3,,2,4,2,,,,,,3,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
74,SFREC,1,5,6,0.25,1,2,1,2,3,1,2,,,4,2,,,1,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
75,SFREC,1,5,4,0.5,2,1,2,3,4,,3,,2,3,2,,,2,,,,1,2,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,
76,SFREC,1,5,7,0.25,1,2,2,3,4,,3,,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
77,SFREC,1,5,8,0.25,2,2,3,3,3,,3,,2,2,2,,,1,,,,1,1,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,
78,SFREC,1,6,1,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
79,SFREC,1,6,1,1,1,2,2,3,3,2,3,4,2,3,1,1,,2,3,,2,1,1,2,2,,,,3,,,,,,,,,1,,,,,,,,,,,,,,,,
80,SFREC,1,6,1,0.5,1,2,2,3,3,2,1,3,2,3,,,,,3,,,,,2,2,,,,3,,,,,,,,,2,,,,,,,,,,,,,,,,
81,SFREC,1,6,1,0.25,1,1,,3,3,,1,2,2,2,,,,,3,,,,,2,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
82,SFREC,1,6,2,0.25,2,1,2,3,3,2,,3,1,3,,,,,3,,,,,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
83,SFREC,1,6,2,0.5,2,2,3,2,2,2,2,4,2,3,1,,,2,,,2,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,SFREC,1,6,3,0.25,2,1,2,2,2,1,1,3,2,2,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,SFREC,1,6,4,0.25,2,2,,2,,,,4,2,2,1,,,2,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,SFREC,1,6,2,1,2,2,2,3,4,2,2,3,2,2,1,,2,2,3,1,3,1,1,,2,,,,3,,,2,,,2,,,,,,,1,,,,,,,,,,,,
87,SFREC,1,6,3,0.5,2,1,1,3,3,,4,2,2,3,,,2,2,2,,3,2,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,
88,SFREC,1,6,5,0.25,1,1,,3,3,,3,2,2,2,,,1,2,,1,3,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
89,SFREC,1,6,6,0.25,1,2,,3,3,,,1,2,3,,,,,3,,2,2,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
90,SFREC,1,6,4,0.5,2,2,2,3,4,1,2,2,,2,,,,2,2,,2,,1,,1,,,,2,,,,,,2,,,,,,,1,,,,,,,,,,,,
91,SFREC,1,6,7,0.25,1,1,,3,4,2,2,1,,,,,,,3,,3,,,,,,,,3,,,,,,2,,,,,,,,,,,,,,,,,,,
92,SFREC,1,6,8,0.25,1,2,2,2,4,,2,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
93,SFREC,1,6,1,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,SFREC,1,7,1,2,3,3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,SFREC,1,7,1,1,1,2,2,4,4,2,2,3,2,3,3,2,2,2,3,,2,,1,1,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,
96,SFREC,1,7,1,0.5,1,1,2,4,3,1,2,3,2,2,2,2,2,2,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,SFREC,1,7,1,0.25,1,1,2,3,3,,,2,2,,,2,,2,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,SFREC,1,7,2,0.25,2,2,1,3,2,,2,3,1,2,3,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,SFREC,1,7,2,0.5,1,2,2,3,4,2,2,2,2,2,1,2,,1,3,,2,,1,,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,
100,SFREC,1,7,3,0.25,1,1,,3,4,1,,2,1,,1,3,,,3,,2,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
101,SFREC,1,7,4,0.25,1,2,1,3,4,,2,2,1,2,,2,,1,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,SFREC,1,7,2,1,2,1,3,3,4,2,3,3,2,3,,,2,2,,,,,2,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
103,SFREC,1,7,3,0.5,2,1,2,3,4,1,2,2,2,3,,,,1,,,,,2,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
104,SFREC,1,7,5,0.25,1,1,1,3,4,1,2,2,,3,,,,1,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
105,SFREC,1,7,6,0.25,2,1,,3,4,,,2,2,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,SFREC,1,7,4,0.5,2,2,3,3,4,1,3,2,2,2,,,2,2,,,2,,2,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
107,SFREC,1,7,7,0.25,1,2,3,3,2,,2,2,,2,,,1,2,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,SFREC,1,7,8,0.25,2,2,3,3,3,,2,2,2,2,,,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
109,SFREC,1,8,1,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,SFREC,1,8,1,1,1,2,3,4,3,2,3,3,2,4,,1,1,2,,,2,,2,2,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
111,SFREC,1,8,1,0.5,1,1,3,4,2,2,2,3,1,3,,1,,2,,,,,1,2,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
112,SFREC,1,8,1,0.25,1,2,2,4,,,2,3,,3,,,,2,,,,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,SFREC,1,8,2,0.25,2,2,2,4,1,2,2,3,,3,,,,2,,,,,1,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
114,SFREC,1,8,2,0.5,2,1,2,4,3,1,2,3,2,4,,,1,2,,,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,SFREC,1,8,3,0.25,1,1,2,4,2,2,,3,2,3,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,SFREC,1,8,4,0.25,2,2,2,4,2,,,1,1,4,,,1,,,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,SFREC,1,8,2,1,2,2,2,3,3,1,2,2,2,5,2,1,3,2,,,2,2,,2,1,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,
118,SFREC,1,8,3,0.5,1,2,2,4,3,1,2,2,2,5,,,3,2,,,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,SFREC,1,8,5,0.25,1,2,,4,3,1,3,2,1,4,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,SFREC,1,8,6,0.25,2,1,1,3,3,,,2,2,4,,,3,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,SFREC,1,8,4,0.5,2,1,1,3,3,1,1,3,2,5,,2,3,2,,,2,2,,2,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,
122,SFREC,1,8,7,0.25,1,2,1,1,2,,1,2,2,5,,,2,2,,,2,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
123,SFREC,1,8,8,0.25,2,1,1,2,2,,,2,2,5,,2,3,1,,,,,,,,,,,,,,1,,,,,,,3,,,,,,,,,,,,,,,
124,SFREC,1,8,1,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,SFREC,2,1,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,SFREC,2,1,1,1,2,1,3,4,3,,4,2,2,4,,2,2,3,,,2,3,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,
127,SFREC,2,1,1,0.5,1,1,3,4,3,,3,,2,3,,,2,2,,,2,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
128,SFREC,2,1,1,0.25,1,1,2,4,3,,3,,2,4,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,SFREC,2,1,2,0.25,2,2,3,4,3,,3,,3,2,,,2,2,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,SFREC,2,1,2,0.5,2,1,2,3,3,,4,,2,5,,2,2,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,SFREC,2,1,3,0.25,1,2,2,3,3,,3,,2,4,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,SFREC,2,1,4,0.25,2,1,2,3,2,,3,,1,4,,2,1,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,SFREC,2,1,2,1,2,2,2,3,5,,4,1,1,3,,1,2,2,,,2,3,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
134,SFREC,2,1,3,0.5,1,1,2,3,4,,5,,,3,,,1,2,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,SFREC,2,1,5,0.25,2,1,2,3,4,,5,,,2,,,2,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,SFREC,2,1,6,0.25,2,2,2,3,4,,5,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,SFREC,2,1,4,0.5,2,1,2,3,5,,4,1,1,3,,,2,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,SFREC,2,1,7,0.25,1,2,2,2,5,,4,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,SFREC,2,1,8,0.25,2,1,2,3,5,,4,1,,2,,,,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,SFREC,2,2,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
141,SFREC,2,2,1,1,1,2,3,2,4,,5,,2,,,,2,3,,3,3,3,,3,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
142,SFREC,2,2,1,0.5,1,1,3,2,4,,5,,2,,,,,3,,2,3,3,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
143,SFREC,2,2,1,0.25,1,2,2,2,4,,5,,2,,,,,3,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,SFREC,2,2,2,0.25,2,2,2,2,4,,4,,2,,,,,3,,2,4,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
145,SFREC,2,2,2,0.5,2,1,2,2,3,,5,,2,,,,3,3,,2,3,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,SFREC,2,2,3,0.25,1,1,2,2,2,,4,,2,,,,,2,,2,3,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,SFREC,2,2,4,0.25,1,2,2,2,3,,4,,2,,,,2,2,,3,2,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,SFREC,2,2,2,1,2,2,3,3,3,,4,,1,2,,2,2,3,,2,3,2,,3,1,,,,,,,1,1,,,,1,,,,,,2,,,,,,,,,,,
149,SFREC,2,2,3,0.5,2,1,3,3,3,,4,,1,2,,,3,4,,2,3,2,,3,1,,,,,,,1,2,,,,1,,,,,,,,,,,,,,,,,
150,SFREC,2,2,5,0.25,1,1,2,3,2,,4,,,3,,,2,2,,2,3,,,3,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
151,SFREC,2,2,6,0.25,1,2,3,2,3,,4,,2,,,,2,4,,3,2,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
152,SFREC,2,2,4,0.5,2,2,2,4,3,,4,,1,1,,2,,3,,2,2,1,,3,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
153,SFREC,2,2,7,0.25,2,1,2,4,,,3,,1,2,,,,3,,2,,,,3,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,
154,SFREC,2,2,8,0.25,2,2,2,4,2,,3,,1,,,2,,2,,,,,,2,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
155,SFREC,2,2,1,4,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,SFREC,2,3,1,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,SFREC,2,3,1,1,1,1,2,4,3,1,4,,2,3,,2,2,2,,2,2,3,,2,,,,,,,,1,,1,1,,2,,,,,,,,,,,,,,,,,
158,SFREC,2,3,1,0.5,2,1,2,5,3,1,3,,1,3,,,2,1,,3,2,2,,2,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
159,SFREC,2,3,1,0.25,1,1,,4,3,,3,,1,4,,,2,1,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
160,SFREC,2,3,2,0.25,1,2,,4,2,,3,,,2,,,2,,,2,2,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,SFREC,2,3,2,0.5,2,2,2,4,3,,3,,2,3,,2,3,,,2,2,2,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
162,SFREC,2,3,3,0.25,1,1,2,4,3,,3,,1,3,,2,3,,,2,3,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
163,SFREC,2,3,4,0.25,1,2,2,3,3,,4,,1,3,,3,3,,,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,SFREC,2,3,2,1,2,1,2,4,3,1,4,1,1,3,,2,3,2,2,1,3,2,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
165,SFREC,2,3,3,0.5,1,1,2,4,2,,4,,1,,,1,2,1,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,SFREC,2,3,5,0.25,2,1,1,3,,,4,,1,,,1,2,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,SFREC,2,3,6,0.25,1,2,2,4,2,,4,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,SFREC,2,3,4,0.5,1,2,1,5,2,,3,1,1,3,,2,2,2,,1,2,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,SFREC,2,3,7,0.25,2,1,,5,2,,3,,1,2,,1,,1,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
