Site,Block,Plot,SubplotRes,Subplot,SubplotX,SubplotY,CroSet,UnkApiaceae,UnkTarweed..CenMil..,VicSat,AnaArv,LacSer,LotWra,NotRanunc
HREC,2,1,0.25,5,2,1,,,,,,,,NA
HREC,2,1,0.25,6,2,2,,,,,,,,NA
HREC,2,1,0.5,4,2,1,,,,,,,,NA
HREC,2,1,0.25,7,1,2,,,,,,,,NA
HREC,2,1,0.25,8,2,1,,,,,,,,NA
HREC,2,2,2,1,1,2,,,,,,,,NA
HREC,2,2,1,1,1,2,,,,,,,,NA
HREC,2,2,0.5,1,1,1,,,,,,,,NA
HREC,2,2,0.25,1,1,2,,,,,,,,NA
HREC,2,2,0.25,2,2,2,,,,,,,,NA
HREC,2,2,0.5,2,2,1,,,,,,,,NA
HREC,2,2,0.25,3,1,1,,,,,,,,NA
HREC,2,2,0.25,4,1,2,,,,,,,,NA
HREC,2,2,1,2,2,2,,,,,,,,NA
HREC,2,2,0.5,3,2,1,,,,,,,,NA
HREC,2,2,0.25,5,1,1,,,,,,,,NA
HREC,2,2,0.25,6,1,2,,,,,,,,NA
HREC,2,2,0.5,4,2,2,,,,,,,,NA
HREC,2,2,0.25,7,2,1,,,,,,,,NA
HREC,2,2,0.25,8,2,2,,,,,,,,NA
HREC,2,2,4,1,NA,NA,,,,,,,,NA
HREC,2,3,2,1,2,3,,,,,,,,NA
HREC,2,3,1,1,1,1,,,,,,,,NA
HREC,2,3,0.5,1,2,1,,,,,,,,NA
HREC,2,3,0.25,1,1,1,,,,,,,,NA
HREC,2,3,0.25,2,1,2,,,,,,,,NA
HREC,2,3,0.5,2,2,2,,,,,,,,NA
HREC,2,3,0.25,3,1,1,,,,,,,,NA
HREC,2,3,0.25,4,1,2,,,,,,,,NA
HREC,2,3,1,2,2,1,,,,,,,1,NA
HREC,2,3,0.5,3,1,1,,,,,,,0,NA
HREC,2,3,0.25,5,2,1,,,,,,,0,NA
HREC,2,3,0.25,6,1,2,,,,,,,0,NA
HREC,2,3,0.5,4,1,2,,,,,,,0,NA
HREC,2,3,0.25,7,2,1,,,,,,,0,NA
HREC,2,3,0.25,8,2,2,,,,,,,0,NA
HREC,2,4,2,1,1,4,,,,,,,X,NA
HREC,2,4,1,1,1,2,,,,,,,,NA
HREC,2,4,0.5,1,1,1,,,,,,,,NA
HREC,2,4,0.25,1,1,1,,,,,,,,NA
HREC,2,4,0.25,2,1,2,,,,,,,,NA
HREC,2,4,0.5,2,2,2,,,,,,,,NA
HREC,2,4,0.25,3,1,2,,,,,,,,NA
HREC,2,4,0.25,4,2,1,,,,,,,,NA
HREC,2,4,1,2,2,2,,,,,,,,NA
HREC,2,4,0.5,3,1,1,,,,,,,,NA
HREC,2,4,0.25,5,1,1,,,,,,,,NA
HREC,2,4,0.25,6,1,2,,,,,,,,NA
HREC,2,4,0.5,4,2,2,,,,,,,,NA
HREC,2,4,0.25,7,1,2,,,,,,,,NA
HREC,2,4,0.25,8,2,2,,,,,,,,NA
HREC,2,4,4,1,NA,NA,,,,,,,,NA
HREC,2,5,2,1,4,1,,,,,,,,NA
HREC,2,5,1,1,1,2,1,,,,,,,NA
HREC,2,5,0.5,1,1,2,1,,,,,,,NA
HREC,2,5,0.25,1,1,1,0,,,,,,,NA
HREC,2,5,0.25,2,1,2,1,,,,,,,NA
HREC,2,5,0.5,2,2,2,1,,,,,,,NA
HREC,2,5,0.25,3,2,1,0,,,,,,,NA
HREC,2,5,0.25,4,2,2,0,,,,,,,NA
HREC,2,5,1,2,2,2,1,,,,,,,NA
HREC,2,5,0.5,3,1,2,,,,,,,,NA
HREC,2,5,0.25,5,1,1,,,,,,,,NA
HREC,2,5,0.25,6,1,2,,,,,,,,NA
HREC,2,5,0.5,4,2,1,,,,,,,,NA
HREC,2,5,0.25,7,1,2,,,,,,,,NA
HREC,2,5,0.25,8,2,2,,,,,,,,NA
HREC,2,6,2,1,3,2,,,,,,,,NA
HREC,2,6,1,1,1,2,,,,,,,,NA
HREC,2,6,0.5,1,1,2,,,,,,,,NA
HREC,2,6,0.25,1,1,1,,,,,,,,NA
HREC,2,6,0.25,2,2,1,,,,,,,,NA
HREC,2,6,0.5,2,2,2,,,,,,,,NA
HREC,2,6,0.25,3,2,1,,,,,,,,NA
HREC,2,6,0.25,4,2,2,,,,,,,,NA
HREC,2,6,1,2,2,2,,,,,,,,NA
HREC,2,6,0.5,3,2,1,,,,,,,,NA
HREC,2,6,0.25,5,1,1,,,,,,,,NA
HREC,2,6,0.25,6,1,2,,,,,,,,NA
HREC,2,6,0.5,4,2,2,,,,,,,,NA
HREC,2,6,0.25,7,1,1,,,,,,,,NA
HREC,2,6,0.25,8,1,2,,,,,,,,NA
HREC,2,6,4,1,,,,,,,,,,
HREC,2,7,2,1,NA,NA,,,,,,,,NA
HREC,2,7,1,1,2,1,,,,,,,,NA
HREC,2,7,0.5,1,2,1,,,,,,,,NA
HREC,2,7,0.25,1,1,1,,,,,,,,NA
HREC,2,7,0.25,2,2,1,,,,,,,,NA
HREC,2,7,0.5,2,2,2,,,,,,,,NA
HREC,2,7,0.25,3,1,2,,,,,,,,NA
HREC,2,7,0.25,4,2,2,,,,,,,,NA
HREC,2,7,1,2,1,2,,,,,,,,NA
HREC,2,7,0.5,3,1,1,,,,,,,,NA
HREC,2,7,0.25,5,1,1,,,,,,,,NA
HREC,2,7,0.25,6,2,2,,,,,,,,NA
HREC,2,7,0.5,4,1,2,,,,,,,,NA
HREC,2,7,0.25,7,1,1,,,,,,,,NA
HREC,2,7,0.25,8,1,2,,,,,,,,NA
HREC,2,8,2,1,4,4,,,,,,,,NA
HREC,2,8,1,1,1,2,1,,,,,,,NA
HREC,2,8,0.5,1,1,1,1,,,,,,,NA
HREC,2,8,0.25,1,1,2,0,,,,,,,NA
HREC,2,8,0.25,2,2,2,0,,,,,,,NA
HREC,2,8,0.5,2,2,1,0,,,,,,,NA
HREC,2,8,0.25,3,1,1,0,,,,,,,NA
HREC,2,8,0.25,4,2,2,0,,,,,,,NA
HREC,2,8,1,2,2,2,,,,,,,,NA
HREC,2,8,0.5,3,1,2,,,,,,,,NA
HREC,2,8,0.25,5,1,2,,,,,,,,NA
HREC,2,8,0.25,6,2,1,,,,,,,,NA
HREC,2,8,0.5,4,2,1,,,,,,,,NA
HREC,2,8,0.25,7,1,2,,,,,,,,NA
HREC,2,8,0.25,8,2,1,,,,,,,,NA
HREC,2,8,4,1,NA,NA,,,,,,X,,NA
HREC,3,1,2,1,2,1,,,,,,,,NA
HREC,3,1,1,1,2,1,1,,,,,,,NA
HREC,3,1,0.5,1,1,1,2,,,,,,,NA
HREC,3,1,0.25,1,1,1,0,,,,,,,NA
HREC,3,1,0.25,2,2,2,2,,,,,,,NA
HREC,3,1,0.5,2,2,1,1,,,,,,,NA
HREC,3,1,0.25,3,1,2,,,,,,,,NA
HREC,3,1,0.25,4,2,1,,,,,,,,NA
HREC,3,1,1,2,2,2,1,,,,,,,NA
HREC,3,1,0.5,3,1,1,,,,,,,,NA
HREC,3,1,0.25,5,2,1,,,,,,,,NA
HREC,3,1,0.25,6,2,2,,,,,,,,NA
HREC,3,1,0.5,4,2,1,1,,,,,,,NA
HREC,3,1,0.25,7,1,2,,,,,,,,NA
HREC,3,1,0.25,8,2,1,1,,,,,,,NA
HREC,3,2,2,1,1,2,,,,,,,,NA
HREC,3,2,1,1,1,2,2,,,,,,,NA
HREC,3,2,0.5,1,1,1,0,,,,,,,NA
HREC,3,2,0.25,1,1,2,0,,,,,,,NA
HREC,3,2,0.25,2,2,2,0,,,,,,,NA
HREC,3,2,0.5,2,2,1,0,,,,,,,NA
HREC,3,2,0.25,3,1,1,0,,,,,,,NA
HREC,3,2,0.25,4,1,2,0,,,,,,,NA
HREC,3,2,1,2,2,2,1,,,,,,,NA
HREC,3,2,0.5,3,2,1,1,,,,,,,NA
HREC,3,2,0.25,5,1,1,0,,,,,,,NA
HREC,3,2,0.25,6,1,2,2,,,,,,,NA
HREC,3,2,0.5,4,2,2,0,,,,,,,NA
HREC,3,2,0.25,7,2,1,0,,,,,,,NA
HREC,3,2,0.25,8,2,2,0,,,,,,,NA
HREC,3,2,4,1,NA,NA,,,,,,,,NA
HREC,3,3,2,1,2,3,,,,,,,,NA
HREC,3,3,1,1,1,1,2,,,,,,,NA
HREC,3,3,0.5,1,2,1,2,,,,,,,NA
HREC,3,3,0.25,1,1,1,2,,,,,,,NA
HREC,3,3,0.25,2,1,2,2,,,,,,,NA
HREC,3,3,0.5,2,2,2,1,,,,,,,NA
HREC,3,3,0.25,3,1,1,0,,,,,,,NA
HREC,3,3,0.25,4,1,2,0,,,,,,,NA
HREC,3,3,1,2,2,1,2,,,,,,,NA
HREC,3,3,0.5,3,1,1,2,,,,,,,NA
HREC,3,3,0.25,5,2,1,2,,,,,,,NA
HREC,3,3,0.25,6,1,2,0,,,,,,,NA
HREC,3,3,0.5,4,1,2,1,,,,,,,NA
HREC,3,3,0.25,7,2,1,0,,,,,,,NA
HREC,3,3,0.25,8,2,2,0,,,,,,,NA
HREC,3,4,2,1,1,4,,,,,,,,NA
HREC,3,4,1,1,1,2,2,,,,,,,NA
HREC,3,4,0.5,1,1,1,2,,,,,,,NA
HREC,3,4,0.25,1,1,1,0,,,,,,,NA
HREC,3,4,0.25,2,1,2,1,,,,,,,NA
HREC,3,4,0.5,2,2,2,1,,,,,,,NA
HREC,3,4,0.25,3,1,2,0,,,,,,,NA
HREC,3,4,0.25,4,2,1,1,,,,,,,NA
HREC,3,4,1,2,2,2,1,,,,,,,NA
HREC,3,4,0.5,3,1,1,1,,,,,,,NA
HREC,3,4,0.25,5,1,1,0,,,,,,,NA
HREC,3,4,0.25,6,1,2,0,,,,,,,NA
HREC,3,4,0.5,4,2,2,1,,,,,,,NA
HREC,3,4,0.25,7,1,2,1,,,,,,,NA
HREC,3,4,0.25,8,2,2,1,,,,,,,NA
HREC,3,4,4,1,NA,NA,,,,,,,,NA
HREC,3,5,2,1,4,1,,,,,,,X,NA
HREC,3,5,1,1,1,2,1,,,,,,,NA
HREC,3,5,0.5,1,1,2,1,,,,,,,NA
HREC,3,5,0.25,1,1,1,0,,,,,,,NA
HREC,3,5,0.25,2,1,2,1,,,,,,,NA
HREC,3,5,0.5,2,2,2,1,,,,,,,NA
HREC,3,5,0.25,3,2,1,0,,,,,,,NA
HREC,3,5,0.25,4,2,2,0,,,,,,,NA
HREC,3,5,1,2,2,2,1,,,,,,,NA
HREC,3,5,0.5,3,1,2,0,,,,,,,NA
HREC,3,5,0.25,5,1,1,0,,,,,,,NA
HREC,3,5,0.25,6,1,2,0,,,,,,,NA
HREC,3,5,0.5,4,2,1,1,,,,,,,NA
HREC,3,5,0.25,7,1,2,0,,,,,,,NA
HREC,3,5,0.25,8,2,2,0,,,,,,,NA
HREC,3,6,2,1,3,2,,,,,,,,NA
HREC,3,6,1,1,1,2,1,,,,,,,NA
HREC,3,6,0.5,1,1,2,1,,,,,,,NA
HREC,3,6,0.25,1,1,1,2,,,,,,,NA
HREC,3,6,0.25,2,2,1,0,,,,,,,NA
HREC,3,6,0.5,2,2,2,0,,,,,,,NA
HREC,3,6,0.25,3,2,1,0,,,,,,,NA
HREC,3,6,0.25,4,2,2,0,,,,,,,NA
HREC,3,6,1,2,2,2,2,,,,,,,NA
HREC,3,6,0.5,3,2,1,2,,,,,,,NA
HREC,3,6,0.25,5,1,1,2,,,,,,,NA
HREC,3,6,0.25,6,1,2,0,,,,,,,NA
HREC,3,6,0.5,4,2,2,1,,,,,,,NA
HREC,3,6,0.25,7,1,1,0,,,,,,,NA
HREC,3,6,0.25,8,1,2,0,,,,,,,NA
HREC,3,6,4,1,,,,,,,,,,
HREC,3,7,2,1,NA,NA,,,,,,,,NA
HREC,3,7,1,1,2,1,1,,,,,,,NA
HREC,3,7,0.5,1,2,1,1,,,,,,,NA
HREC,3,7,0.25,1,1,1,0,,,,,,,NA
HREC,3,7,0.25,2,2,1,0,,,,,,,NA
HREC,3,7,0.5,2,2,2,1,,,,,,,NA
HREC,3,7,0.25,3,1,2,2,,,,,,,NA
HREC,3,7,0.25,4,2,2,0,,,,,,,NA
HREC,3,7,1,2,1,2,1,,,,,,,NA
HREC,3,7,0.5,3,1,1,0,,,,,,,NA
HREC,3,7,0.25,5,1,1,0,,,,,,,NA
HREC,3,7,0.25,6,2,2,0,,,,,,,NA
HREC,3,7,0.5,4,1,2,1,,,,,,,NA
HREC,3,7,0.25,7,1,1,0,,,,,,,NA
HREC,3,7,0.25,8,1,2,2,,,,,,,NA
HREC,3,8,2,1,4,4,,,,,,,X,NA
HREC,3,8,1,1,1,2,2,,,,,,,NA
HREC,3,8,0.5,1,1,1,1,,,,,,,NA
HREC,3,8,0.25,1,1,2,1,,,,,,,NA
HREC,3,8,0.25,2,2,2,0,,,,,,,NA
HREC,3,8,0.5,2,2,1,2,,,,,,,NA
HREC,3,8,0.25,3,1,1,3,,,,,,,NA
HREC,3,8,0.25,4,2,2,0,,,,,,,NA
HREC,3,8,1,2,2,2,2,,,,,,,NA
HREC,3,8,0.5,3,1,2,2,,,,,,,NA
HREC,3,8,0.25,5,1,2,0,,,,,,,NA
HREC,3,8,0.25,6,2,1,1,,,,,,,NA
HREC,3,8,0.5,4,2,1,2,,,,,,,NA
HREC,3,8,0.25,7,1,2,2,,,,,,,NA
HREC,3,8,0.25,8,2,1,1,,,,,,,NA
HREC,3,8,4,1,NA,NA,,,,,,X,,NA
HREC,4,1,2,1,2,1,,,,,,,,NA
HREC,4,1,1,1,2,1,2,,,,,1,,NA
HREC,4,1,0.5,1,1,1,1,,,,,1,,NA
HREC,4,1,0.25,1,1,1,1,,,,,0,,NA
HREC,4,1,0.25,2,2,2,,,,,,1,,NA
HREC,4,1,0.5,2,2,1,2,,,,,0,,NA
HREC,4,1,0.25,3,1,2,2,,,,,0,,NA
HREC,4,1,0.25,4,2,1,1,,,,,0,,NA
HREC,4,1,1,2,2,2,2,,,,,0,,NA
HREC,4,1,0.5,3,1,1,1,,,,,0,,NA
HREC,4,1,0.25,5,2,1,2,,,,,0,,NA
HREC,4,1,0.25,6,2,2,0,,,,,0,,NA
HREC,4,1,0.5,4,2,1,2,,,,,0,,NA
HREC,4,1,0.25,7,1,2,2,,,,,0,,NA
HREC,4,1,0.25,8,2,1,1,,,,,0,,NA
HREC,4,2,2,1,1,2,,,,,,,,NA
HREC,4,2,1,1,1,2,1,,,,,,,NA
HREC,4,2,0.5,1,1,1,0,,,,,,,NA
HREC,4,2,0.25,1,1,2,0,,,,,,,NA
HREC,4,2,0.25,2,2,2,0,,,,,,,NA
HREC,4,2,0.5,2,2,1,1,,,,,,,NA
HREC,4,2,0.25,3,1,1,0,,,,,,,NA
HREC,4,2,0.25,4,1,2,0,,,,,,,NA
HREC,4,2,1,2,2,2,1,,,,,,,NA
HREC,4,2,0.5,3,2,1,0,,,,,,,NA
HREC,4,2,0.25,5,1,1,0,,,,,,,NA
HREC,4,2,0.25,6,1,2,0,,,,,,,NA
HREC,4,2,0.5,4,2,2,1,,,,,,,NA
HREC,4,2,0.25,7,2,1,0,,,,,,,NA
HREC,4,2,0.25,8,2,2,0,,,,,,,NA
HREC,4,2,4,1,NA,NA,,,,,,,,NA
HREC,4,3,2,1,2,3,,,,,,,,NA
HREC,4,3,1,1,1,1,2,,,,,,,NA
HREC,4,3,0.5,1,2,1,2,,,,,,,NA
HREC,4,3,0.25,1,1,1,2,,,,,,,NA
HREC,4,3,0.25,2,1,2,0,,,,,,,NA
HREC,4,3,0.5,2,2,2,1,,,,,,,NA
HREC,4,3,0.25,3,1,1,1,,,,,,,NA
HREC,4,3,0.25,4,1,2,0,,,,,,,NA
HREC,4,3,1,2,2,1,1,,,,,,,NA
HREC,4,3,0.5,3,1,1,1,,,,,,,NA
HREC,4,3,0.25,5,2,1,0,,,,,,,NA
HREC,4,3,0.25,6,1,2,0,,,,,,,NA
HREC,4,3,0.5,4,1,2,0,,,,,,,NA
HREC,4,3,0.25,7,2,1,0,,,,,,,NA
HREC,4,3,0.25,8,2,2,0,,,,,,,NA
HREC,4,4,2,1,1,4,,,,,,,,NA
HREC,4,4,1,1,1,2,1,,,,,,1,1
HREC,4,4,0.5,1,1,1,0,,,,,,1,1
HREC,4,4,0.25,1,1,1,0,,,,,,0,1
HREC,4,4,0.25,2,1,2,0,,,,,,1,NA
HREC,4,4,0.5,2,2,2,1,,,,,,,NA
HREC,4,4,0.25,3,1,2,0,,,,,,,NA
HREC,4,4,0.25,4,2,1,0,,,,,,,NA
HREC,4,4,1,2,2,2,0,,,,,,,NA
HREC,4,4,0.5,3,1,1,0,,,,,,,NA
HREC,4,4,0.25,5,1,1,0,,,,,,,NA
HREC,4,4,0.25,6,1,2,0,,,,,,,NA
HREC,4,4,0.5,4,2,2,0,,,,,,,NA
HREC,4,4,0.25,7,1,2,0,,,,,,,NA
HREC,4,4,0.25,8,2,2,0,,,,,,,NA
HREC,4,4,4,1,NA,NA,,,,,,,,NA
HREC,4,5,2,1,4,1,,,,,,,,NA
HREC,4,5,1,1,1,2,1,,,,,,,NA
HREC,4,5,0.5,1,1,2,1,,,,,,,NA
HREC,4,5,0.25,1,1,1,0,,,,,,,NA
HREC,4,5,0.25,2,1,2,1,,,,,,,NA
HREC,4,5,0.5,2,2,2,1,,,,,,,NA
HREC,4,5,0.25,3,2,1,0,,,,,,,NA
HREC,4,5,0.25,4,2,2,0,,,,,,,NA
HREC,4,5,1,2,2,2,1,,,,,,2,NA
HREC,4,5,0.5,3,1,2,0,,,,,,2,NA
HREC,4,5,0.25,5,1,1,0,,,,,,0,NA
HREC,4,5,0.25,6,1,2,0,,,,,,3,NA
HREC,4,5,0.5,4,2,1,1,,,,,,0,NA
HREC,4,5,0.25,7,1,2,0,,,,,,0,NA
HREC,4,5,0.25,8,2,2,0,,,,,,0,NA
HREC,4,6,2,1,3,2,X,,,,,,,NA
HREC,4,6,1,1,1,2,,,,,,,1,NA
HREC,4,6,0.5,1,1,2,,,,,,,0,NA
HREC,4,6,0.25,1,1,1,,,,,,,0,NA
HREC,4,6,0.25,2,2,1,,,,,,,0,NA
HREC,4,6,0.5,2,2,2,,,,,,,0,NA
HREC,4,6,0.25,3,2,1,,,,,,,0,NA
HREC,4,6,0.25,4,2,2,,,,,,,0,NA
HREC,4,6,1,2,2,2,,,,,,,2,NA
HREC,4,6,0.5,3,2,1,,,,,,,2,NA
HREC,4,6,0.25,5,1,1,,,,,,,0,NA
HREC,4,6,0.25,6,1,2,,,,,,,0,NA
HREC,4,6,0.5,4,2,2,,,,,,,2,NA
HREC,4,6,0.25,7,1,1,,,,,,,0,NA
HREC,4,6,0.25,8,1,2,,,,,,,0,NA
,4,6,4,1,,,,,,,,,,
HREC,4,7,2,1,NA,NA,,,,,,,,NA
HREC,4,7,1,1,2,1,,,,,,,,NA
HREC,4,7,0.5,1,2,1,,,,,,,,NA
HREC,4,7,0.25,1,1,1,,,,,,,,NA
HREC,4,7,0.25,2,2,1,,,,,,,,NA
HREC,4,7,0.5,2,2,2,,,,,,,,NA
HREC,4,7,0.25,3,1,2,,,,,,,,NA
HREC,4,7,0.25,4,2,2,,,,,,,,NA
HREC,4,7,1,2,1,2,,,,,,,,NA
HREC,4,7,0.5,3,1,1,,,,,,,,NA
HREC,4,7,0.25,5,1,1,,,,,,,,NA
HREC,4,7,0.25,6,2,2,,,,,,,,NA
HREC,4,7,0.5,4,1,2,,,,,,,,NA
HREC,4,7,0.25,7,1,1,,,,,,,,NA
HREC,4,7,0.25,8,1,2,,,,,,,,NA
HREC,4,8,2,1,4,4,,,,,,,,NA
HREC,4,8,1,1,1,2,,,,,,,1,NA
HREC,4,8,0.5,1,1,1,,,,,,,1,NA
HREC,4,8,0.25,1,1,2,,,,,,,2,NA
HREC,4,8,0.25,2,2,2,,,,,,,0,NA
HREC,4,8,0.5,2,2,1,,,,,,,1,NA
HREC,4,8,0.25,3,1,1,,,,,,,0,NA
HREC,4,8,0.25,4,2,2,,,,,,,1,NA
HREC,4,8,1,2,2,2,,,,,,,1,NA
HREC,4,8,0.5,3,1,2,,,,,,,0,NA
